클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
249,48192,13202,7787,6806,21755,65725,93049,202152,295823,279923,202328,186316,193659,213477,218207,242148,268219,306219,352364,276515,200573,188502,181850,106437
250,11554,2986,1966,2165,8956,33842,60710,139818,178005,131126,107089,112614,121145,127338,132292,150077,159700,167346,195911,154228,128383,104654,92481,50359
251,28726,7082,4491,4125,20732,50785,116087,256068,297275,202029,158399,149434,159389,166833,161085,182945,212680,234259,272323,212641,160077,150788,143899,80236
252,6997,399,0,34,1841,13975,33807,83602,90924,61696,45843,45746,50987,55353,54819,66381,80895,73651,83418,69741,52983,51396,52738,24952
253,32,6,0,0,0,30,238,158,294,444,523,678,690,902,934,1115,1248,1197,1138,749,461,558,434,136
254,1569,496,53,68,1014,6294,24427,51317,59908,32942,20259,20975,23463,23361,23993,28695,35892,47575,43900,24443,16262,12251,8401,4105
255,55398,28136,17105,13298,28122,58604,65943,138927,219561,190390,173173,186380,194996,211039,215102,228167,239358,259644,283862,207039,177721,180554,161060,101393
256,3189,83,0,0,1103,12485,29740,74000,111007,70422,50420,49783,51622,55467,54955,65268,75659,86546,109482,71627,50323,46541,41866,21214
257,54352,5780,2947,2509,34421,127874,275170,663853,801564,550234,421446,399680,431828,449820,444072,509241,593512,630247,724393,559479,417554,390085,367600,195444
258,16892,2342,568,340,6059,38161,98264,209773,255990,182096,143906,136400,147793,155913,155300,192919,230640,224761,241642,182079,141355,135940,127516,59437
