클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
182,6651,86,0,0,1148,5873,13035,28046,55534,56140,41410,37797,45191,53958,51339,50525,56621,63407,71413,57379,43059,41436,42557,25573
183,25168,5169,3824,4077,63802,125342,127971,284076,477855,307526,205643,196165,213538,223828,226735,251349,277813,334953,420556,322786,226164,224251,162141,92680
184,44961,18292,8561,7599,19547,54644,73752,136976,264580,243534,256148,275563,294428,316690,338901,345688,337189,340402,361774,237845,158436,142388,125088,75440
185,86984,35421,15563,6073,42976,85129,180076,421338,477476,339553,281072,268294,295110,297339,295724,341296,420992,415403,475235,430866,324490,306286,300264,201897
186,19150,1633,608,804,15161,54360,100333,242418,339074,222158,156950,145708,151496,163179,159145,177708,209832,229881,299510,221128,157377,146083,141506,77934
187,20164,1795,468,674,11717,30517,78017,190461,320908,227479,158303,144828,154132,165196,166011,185439,209830,233982,296649,223371,157649,146238,138330,74662
188,7840,725,0,1414,10510,29146,44124,98343,125404,75270,59069,50935,53057,55153,55421,65073,78588,104893,131808,99070,66660,66009,52588,29968
189,2032,290,92,0,0,1341,5251,10606,26928,42086,36561,28179,30412,30933,26806,34846,32888,41998,48102,30289,24831,23277,18910,13189
190,17173,4333,2379,2415,12667,23551,51452,136874,167026,131921,106234,101180,105580,113091,106225,116392,130347,135631,143416,124001,92471,90312,85455,49096
191,33891,4763,1452,762,16832,65580,139890,366126,485411,313394,232621,225514,244108,252176,250979,290705,360934,356320,426126,354846,259275,246604,240181,141029
192,54028,10974,6122,4473,28462,73792,136535,290201,416857,317664,276209,257959,282474,295212,303563,338573,403997,423660,477295,383147,292922,281187,261721,153778
193,64037,5743,1848,2240,76650,179606,266357,608380,815595,562376,419644,384915,415030,434136,419824,470475,536640,605446,696807,522214,386136,370186,356263,205378
194,7486,213,0,0,2152,9515,18811,50908,81895,50225,39811,36924,37153,40856,40280,50036,60802,56217,72638,52192,39550,39347,40173,23548
195,23565,8196,4238,4707,11787,34988,58015,126689,175375,134098,104222,102041,106361,111409,109666,120257,134275,148912,173346,151675,112703,105881,103290,66621
196,162205,66436,20351,17709,102675,422587,507754,879202,1429861,1061336,855442,932952,1004579,1067176,1083689,1187671,1266711,1429824,1595315,1088638,878300,861521,752556,445671
197,10424,376,0,5,4607,16886,35423,87472,142980,99650,81522,81616,94284,98094,105788,119439,133618,134930,153749,114203,78449,72861,66186,35669
198,23364,1976,0,0,5906,20649,70116,204672,198287,144999,104679,103377,113979,123543,113638,130090,157729,167910,195359,178117,133092,126937,140742,81627
199,10084,1111,1065,742,6375,20973,43488,105861,138237,93540,71218,65267,71713,78024,74030,88136,101544,100554,113573,96415,70258,68758,62657,33688
200,20959,2084,0,334,17163,35860,75852,176181,239816,143023,121058,124385,132599,141349,143928,154188,177418,187318,189279,168969,124259,110416,97152,56924
201,15802,2836,2195,1724,8591,37240,57915,123539,213186,141585,105614,100761,111276,113276,113602,122082,144278,159096,188323,154113,114811,109439,103779,64553
202,44174,18384,12745,9321,27001,94161,130758,260872,399629,266708,199651,193791,204660,217575,216099,235463,263012,307211,383320,324200,227056,216203,205963,126595
203,40645,7207,1898,1968,24319,69901,149736,359750,462783,341775,261113,242350,260102,274442,264311,296584,347597,374657,431439,360118,259812,244905,245984,136560
204,8469,4417,1953,1372,5935,11328,24231,63942,55068,33577,27729,25742,28188,30371,29153,33172,42599,41900,45628,45764,30466,27562,25780,16666
205,54613,19930,14234,11509,22826,100980,142333,352152,747725,533612,286851,272719,286208,338241,334432,369437,383925,466246,615621,457476,334407,315804,310309,139634
206,7832,3048,1582,1822,4147,13990,21525,45989,64809,47025,37069,37894,40112,39252,37953,45350,53535,53279,56437,49996,38040,36761,37358,23356
