클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
231,53711,292275,306370,342539,393680,410700,461365,497923,549863,672910,453625,371194,349978,307273,171648
232,11288,89421,79237,91519,99587,89729,101203,125843,125933,141800,114745,84743,80726,83080,46581
233,22610,191138,173624,189271,196965,193002,209927,237589,258254,299790,243827,182566,175589,170398,104921
234,18129,117582,105453,123788,133496,129029,136028,168648,178163,200597,152022,111726,106463,102373,63829
235,2670,10748,8635,11176,10423,10552,12186,15550,19360,22507,15943,10230,9388,8568,3887
236,16118,151413,113127,112927,124707,123520,133263,141526,170383,260844,195811,125813,118725,103797,57379
237,13878,82159,77405,81831,85194,87087,96043,111052,116328,129844,118066,87553,76125,69116,46561
238,25200,169949,149581,164603,179845,171704,198460,224825,231904,260527,228957,165052,155681,147365,88065
239,30643,122350,111727,123965,125694,124560,151266,189648,173330,192590,171928,129341,123486,120870,78602
240,40,5102,3700,4084,4544,6254,6290,5644,5436,4722,3606,3080,2910,1882,1054
241,21074,101312,94632,104106,111002,105906,120715,142126,148954,165690,152870,111515,101682,98389,62765
242,19563,175482,152937,176159,179507,171448,205599,235345,245982,253918,194150,146938,144265,139000,81153
243,65472,248466,239579,266191,295219,293881,326946,368547,395643,450025,382981,294581,286574,286352,187329
244,47439,207334,196516,208580,226101,224125,236214,264208,322999,379005,252423,183186,178967,166851,108132
245,3089,32145,30240,34328,35777,35319,37587,43215,45938,47971,36541,26601,25884,23211,13351
246,46510,248513,222866,249289,268368,256509,289609,346394,367768,417804,343408,253421,241010,239896,134050
247,6181,27677,26596,29029,35306,32129,35160,55510,45707,44945,37865,28624,23416,22237,13008
248,162996,576906,565506,644342,722659,711774,799040,919866,1031610,1206373,971766,749040,757658,785239,542328
249,45964,185242,166634,178941,200839,204218,221728,251010,283122,340787,275941,189512,183588,179224,113961
250,11217,124660,122082,134101,144469,150495,167693,182315,198357,249579,191972,147306,120230,107692,61977
251,30896,132296,121278,129167,140094,133654,149586,173112,189172,218913,171588,126468,122809,123051,75842
252,8152,56619,50971,58946,64051,61650,67160,84323,87035,100860,80212,58924,56684,59044,33730
253,146,768,1144,1180,1612,2108,3092,2824,2006,1794,1211,1378,1128,390,210
254,1263,21252,20545,21954,22011,22740,27139,31663,46588,48259,27145,18923,15742,12498,5718
255,49717,167379,174998,189861,217856,214887,222836,232438,247749,275756,207558,167366,178590,171442,98192
256,3655,56637,52430,55906,61573,63099,71634,82955,93071,113880,83913,55610,50069,46959,26644
257,70033,492983,453609,487128,519713,504012,569662,658932,717665,839907,661837,488457,462211,455698,265935
258,15857,138589,126437,134922,145468,145104,162706,187659,198371,222717,183536,135455,130810,121819,65261
