클러스터,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,월
211,80244,3855,0,0,491,68031,226647,571543,1003035,649626,428973,447378,487037,498478,504516,526310,595254,801926,1230398,847536,549983,565159,536234,318663,2019-01
212,28414,196,0,0,68,23644,94318,227220,568290,487298,291168,292782,288940,337628,352118,352290,353648,466716,731612,404682,269448,285482,264180,117786,2019-01
213,2132,0,0,0,2,2330,7374,20410,27483,15369,11619,10958,12390,13039,12522,12116,14622,17527,23543,20864,11974,11130,10026,7311,2019-01
216,10960,90,2,0,153,16240,78830,202352,497650,320832,179206,175901,163099,191713,190354,193529,208200,291875,481816,270428,166838,167337,127183,55832,2019-01
217,25404,168,0,0,336,27350,85069,234085,543337,535026,473406,556377,631731,706267,695679,700648,703962,766839,949402,623093,388845,394970,314626,141572,2019-01
220,19199,21,0,0,694,30635,64543,163088,246820,138107,94929,90153,100318,105325,104079,111434,129015,154096,207376,195021,116124,105278,94635,58956,2019-01
225,58948,1027,2,0,2788,49805,117403,298769,653512,420733,279685,289211,331079,361233,354686,376142,421013,534249,756435,551890,373786,367838,352732,205738,2019-01
226,24451,360,0,0,156,46476,77551,228557,496208,314340,151590,133670,139799,157704,153253,161342,183817,252894,448624,321876,194753,184783,171443,98653,2019-01
227,3037,943,0,0,132,5820,11084,26354,43735,33989,29920,26266,29051,30436,30607,31675,30510,33093,36854,25852,16879,15087,13593,7586,2019-01
228,3004,1,0,0,13,3423,9164,27905,44868,24876,16829,16283,17152,18364,17681,19240,21368,25866,38739,29210,17926,16734,15707,9155,2019-01
230,16716,190,0,0,57,19229,70334,160312,309725,161428,105601,109546,118955,132129,133515,141422,165361,234373,311106,206914,137768,120874,104329,55431,2019-01
231,2112,0,0,0,19,3801,10500,31281,70230,34844,27690,28037,32259,39404,37282,35737,39577,47233,70008,39993,25891,21985,18138,10099,2019-01
232,2934,5,0,0,4,3470,9097,25551,61519,35975,24290,22108,26991,27789,26643,26651,30581,36780,55262,34726,21989,20940,20704,11461,2019-01
233,10148,13,0,0,13,14014,32682,80375,139039,91107,62717,58199,62565,64772,61939,66366,72886,85327,118911,89329,59561,57637,54649,32728,2019-01
235,2219,0,0,0,3,5775,19361,48310,68119,39801,28241,24220,27741,26401,27138,27512,32229,42549,63248,47102,30942,26872,25130,10974,2019-01
236,9225,0,0,0,40,9973,48222,113604,414026,321015,142284,109556,107902,124698,126684,134471,138826,181677,386485,227069,127988,118751,93213,45021,2019-01
238,9499,0,0,0,22,17388,38006,102112,164155,96080,66729,61759,67303,67371,66842,68919,80727,88297,131479,107992,64355,64558,55552,34858,2019-01
239,1879,0,0,0,2,2362,5291,14840,17519,12284,9790,8179,9268,8609,7830,8381,9095,10689,14503,13719,8216,8271,7489,5211,2019-01
243,47737,824,0,0,137,64863,177834,417527,650413,432569,312213,319236,343183,374146,372727,400985,438171,544448,745031,580500,372294,324177,293651,160502,2019-01
